ParamID	pK	MeanBC	VarBC	BCmetric
1	0.001	0.743822783122635	0.000860980998615516	863.924737385291
2	0.005	0.764178669170026	0.00470237460936835	162.50910075254
3	0.01	0.739977745307656	0.00496418301537698	149.06334899731
4	0.02	0.701676520938452	0.00752910467944109	93.1952138817308
5	0.03	0.661008192988864	0.00691798477534032	95.5492407767473
6	0.04	0.638533376766161	0.00623200549424867	102.460335979396
7	0.05	0.621940847179054	0.00457886087642484	135.828727704141
8	0.06	0.603353441735691	0.0031710942792601	190.266636246611
9	0.07	0.595245747352367	0.00262407045130114	226.840612094548
10	0.08	0.580960882704969	0.00199335851236953	291.448266380529
11	0.09	0.567088322232652	0.00141101155511496	401.901968964705
12	0.1	0.557511480054047	0.00114352879241736	487.53602336107
13	0.11	0.548573306772749	0.000884869705903715	619.948115652228
14	0.12	0.540966878508865	0.000728614614808662	742.45954927891
15	0.13	0.533737872591986	0.000626708624847409	851.652349162963
16	0.14	0.529764205122789	0.000840050120358099	630.634044665049
17	0.15	0.523954852474662	0.000835966243362656	626.765562167995
18	0.16	0.51730063578115	0.000680890820541603	759.740945500884
19	0.17	0.512168371389614	0.000661624551431773	774.107264129284
20	0.18	0.50436999961582	0.000610413602400227	826.275819596041
21	0.19	0.498352695205392	0.000503861253051623	989.067312056904
22	0.2	0.491588096617215	0.00039826133682736	1234.33547562843
23	0.21	0.484923596831007	0.000432660906635806	1120.79365016261
24	0.22	0.478702813743202	0.000367519578262522	1302.52329959211
25	0.23	0.47145459802485	0.000385347714876499	1223.45242964772
26	0.24	0.463438751504685	0.000348134536876185	1331.2059058062
27	0.25	0.462127465995418	0.000258424876802654	1788.24682713623
28	0.26	0.457059469201629	0.000223385697035242	2046.05520974569
29	0.27	0.452811129786518	0.000174516102554521	2594.66675658227
30	0.28	0.451992993145052	0.000170937337635346	2644.20283711959
31	0.29	0.446107663657109	0.00010140774505387	4399.14785029613
32	0.3	0.44231349056765	9.88732058350735e-05	4473.54252177739
