ParamID	pK	MeanBC	VarBC	BCmetric
1	0.001	0.817588143714803	0.000751782860579778	1087.53230032975
2	0.005	0.856460460699834	0.000956795699823777	895.134103192121
3	0.01	0.846584117180419	0.0016205677810814	522.399696614663
4	0.02	0.816366270357071	0.00183331880639512	445.294221337478
5	0.03	0.793034060144886	0.00175321849596802	452.330420862358
6	0.04	0.789410625303877	0.00146121389492653	540.243032210947
7	0.05	0.791697056129698	0.00106955444066383	740.212022903973
8	0.06	0.796826985880467	0.00085814472576189	928.54615539706
9	0.07	0.803517963953651	0.000531915795606903	1510.61121062753
10	0.08	0.808367862448872	0.000200077589532109	4040.27189821347
11	0.09	0.809834194414355	4.5409582342489e-05	17833.9934577334
12	0.1	0.808388730109654	3.22390694871595e-05	25074.8158358487
13	0.11	0.80253668197977	5.82774396691619e-05	13770.9667160351
14	0.12	0.795529742980587	0.000137221597238229	5797.40914689599
15	0.13	0.789148822351979	0.000227935469653484	3462.15893275264
16	0.14	0.785243491213849	0.000274947094337293	2855.98032271091
17	0.15	0.783233366773077	0.000503287446998168	1556.23465565182
18	0.16	0.786879080224066	0.000591476652599586	1330.36372063998
19	0.17	0.791518548832805	0.000657602588837646	1203.64268977691
20	0.18	0.798064474750487	0.000753349038899615	1059.35553580341
21	0.19	0.805555630857455	0.000730587373941862	1102.6136771446
22	0.2	0.814375504976854	0.000579896758795507	1404.34567468247
23	0.21	0.824390190168304	0.000430181596475588	1916.37716936849
24	0.22	0.834273009735137	0.000315541762743882	2643.9384837065
25	0.23	0.840168337991517	0.000302739478555695	2775.2189506297
26	0.24	0.843891779811097	0.000311623947168683	2708.04534593195
27	0.25	0.843613126635461	0.000301221844932402	2800.6372739161
28	0.26	0.841331197196145	0.000344328526107878	2443.3967371398
29	0.27	0.838194072943078	0.000416624591926911	2011.86893233159
30	0.28	0.834466590797311	0.000507164925302989	1645.35548332485
31	0.29	0.83019373145677	0.000619248279667134	1340.64761859819
32	0.3	0.827577733997625	0.000539131534682032	1535.02008463614
