ParamID	pK	MeanBC	VarBC	BCmetric
1	0.001	0.811480927359623	0.000918872476315373	883.1268193097
2	0.005	0.852134360848059	0.00157867362831843	539.778675948197
3	0.01	0.84665628340237	0.00171238981573875	494.429641907856
4	0.02	0.835654106905685	0.00145059367312143	576.077313992071
5	0.03	0.829232801980173	0.00135603738783998	611.511754333745
6	0.04	0.820627263690499	0.0013512549441684	607.307501246953
7	0.05	0.825271045841823	0.000977517831665103	844.25165363588
8	0.06	0.835218652442398	0.000701716467776399	1190.2508930552
9	0.07	0.845921423266593	0.000484203488362765	1747.03702802081
10	0.08	0.850315991649903	0.000215921342249153	3938.08218674706
11	0.09	0.849630099864367	9.44277597714206e-05	8997.67295042316
12	0.1	0.844010587944456	0.000108109143967931	7807.02313390639
13	0.11	0.835228426067477	0.000280784669418527	2974.62260955037
14	0.12	0.82775613268351	0.0003866778597428	2140.68665124529
15	0.13	0.820023116962035	0.00034391770560486	2384.3585357719
16	0.14	0.815907712157332	0.000245032699525604	3329.79114108841
17	0.15	0.810750501140133	0.000135677593998697	5975.56661528005
18	0.16	0.805822585438831	7.94450986645241e-05	10143.1378270623
19	0.17	0.800983329492409	8.56010308344199e-05	9357.16920327478
20	0.18	0.795181017001271	8.98472675713017e-05	8850.36393978509
21	0.19	0.792813196586585	8.20369170394339e-05	9664.10276248547
22	0.2	0.789278244828272	9.63345045622151e-05	8193.10016089341
23	0.21	0.786295464760774	9.92996373647601e-05	7918.41224829908
24	0.22	0.7835149283178	8.76485027401968e-05	8939.28480033772
25	0.23	0.782273225098957	5.72023943205496e-05	13675.5328931735
26	0.24	0.779843836282669	5.90224482350762e-05	13212.6650046214
27	0.25	0.778360675097973	7.24055022242198e-05	10750.0210783375
28	0.26	0.776874819089032	4.5990606411713e-05	16892.0325193011
29	0.27	0.774369731214294	6.10272138481153e-05	12688.9248645948
30	0.28	0.772955776149106	6.74188038355152e-05	11464.9879881423
31	0.29	0.772826364398561	6.99759009590578e-05	11044.17883595
32	0.3	0.771962385896856	9.15331103900432e-05	8433.69555134039
