ParamID	pK	MeanBC	VarBC	BCmetric
1	0.001	0.853213254724696	0.000903358133210295	944.490588347948
2	0.005	0.889118702641089	0.00041538283936236	2140.4801026589
3	0.01	0.884270137577734	0.000879892399944081	1004.97531020149
4	0.02	0.876280910539971	0.000770801102471034	1136.84439180327
5	0.03	0.865998946763522	0.000675070620466118	1282.82718949548
6	0.04	0.857270370333937	0.000509474996592132	1682.65445030316
7	0.05	0.848799900615301	0.000442085455627665	1919.99055795715
8	0.06	0.834526498447506	0.000287534358872541	2902.35400638655
9	0.07	0.817665374431599	0.00013455363932866	6076.87297431157
10	0.08	0.804100102585704	8.78001248960594e-05	9158.30249145572
11	0.09	0.789897281505055	2.94050057314446e-05	26862.6807530382
12	0.1	0.773241787838524	1.82775161760176e-05	42305.6273287896
13	0.11	0.753711245101495	4.30509291719268e-05	17507.4326988739
14	0.12	0.73291239911821	0.00018668753963207	3925.87743436256
15	0.13	0.716984615353708	0.000317013224016101	2261.68677214958
16	0.14	0.702275567688282	0.000405419757070856	1732.21841175723
17	0.15	0.690748343401252	0.000500329267544183	1380.58752147705
18	0.16	0.679302112871372	0.000750569094533184	905.049405603177
19	0.17	0.671582340107072	0.000770269887811119	871.879260418074
20	0.18	0.664516714655429	0.000835565744384338	795.289561738865
21	0.19	0.656641919127768	0.00101658557986061	645.92881517934
22	0.2	0.649884361795882	0.00109928440518118	591.18855751326
23	0.21	0.643862643145303	0.00124092545280152	518.856827129877
24	0.22	0.639987858225593	0.00110827049578131	577.465393747953
25	0.23	0.637806806172254	0.000962968037138346	662.334347116677
26	0.24	0.636829462361268	0.000753045723205709	845.671707224218
27	0.25	0.63695930654628	0.000528446268989213	1205.34355889129
28	0.26	0.63545372939328	0.000536366971540342	1184.73687439847
29	0.27	0.636269554387679	0.000423283207617935	1503.17693434697
30	0.28	0.635213384808942	0.000498881559041121	1273.27493529698
31	0.29	0.633401279902312	0.00074479069926053	850.441983944199
32	0.3	0.634160891457985	0.000877740906820537	722.492123279434
