ParamID	pK	MeanBC	VarBC	BCmetric
1	0.001	0.82371191764289	0.00101588958285743	810.828195841917
2	0.005	0.859468097470495	0.00111496218348387	770.849550058244
3	0.01	0.846651777469133	0.00152445152771589	555.38123848233
4	0.02	0.835586614974065	0.00126865926546359	658.637537848848
5	0.03	0.828183928013816	0.00110897938904649	746.798304994555
6	0.04	0.825754919091756	0.00100093846517574	824.980703430927
7	0.05	0.826184036126672	0.000935827066010297	882.838364195786
8	0.06	0.825753465429813	0.000861103164405302	958.948357831315
9	0.07	0.82596290364285	0.00089409162006805	923.801191179921
10	0.08	0.824608069321456	0.000874814585431032	942.608963149788
11	0.09	0.824255317066236	0.000795212248138777	1036.52241146365
12	0.1	0.821995360609702	0.000632291216733213	1300.02653659593
13	0.11	0.820942109106037	0.000493491700463185	1663.53782309918
14	0.12	0.819246142689343	0.000425927801787926	1923.43899423887
15	0.13	0.818748514187334	0.000338317332816533	2420.06079727323
16	0.14	0.816898249564947	0.000206496424964746	3955.99221489869
17	0.15	0.815425341736886	0.000138959635055754	5868.07342585289
18	0.16	0.813367726401201	9.76194991884325e-05	8332.02109376916
19	0.17	0.811125168135914	5.58254401686823e-05	14529.6690126404
20	0.18	0.809894234205415	3.24159400088345e-05	24984.4438873187
21	0.19	0.808206857766042	2.24728598233289e-05	35963.6852683542
22	0.2	0.805395965935824	1.98807666546273e-05	40511.313267105
23	0.21	0.802770146954912	1.58988657199252e-05	50492.2905254079
24	0.22	0.799747494383958	2.17825293456569e-05	36715.0885782425
25	0.23	0.798131915819845	2.77690358092106e-05	28741.7943245662
26	0.24	0.795944876384956	3.313519246224e-05	24021.1333400883
27	0.25	0.79358973327385	4.86497675080036e-05	16312.3026876396
28	0.26	0.791648294377018	7.35023103344026e-05	10770.3865467
29	0.27	0.789545913860147	9.296259244913e-05	8493.15722657147
30	0.28	0.789068625725922	9.33430387503511e-05	8453.42766091332
31	0.29	0.787989186966655	7.65640787182869e-05	10291.8914477638
32	0.3	0.786468908978255	8.54369968354575e-05	9205.2499281185
