ParamID	pK	MeanBC	VarBC	BCmetric
1	0.001	0.83391686329287	0.000841882946885412	990.537777701742
2	0.005	0.881413781810358	0.000643490052828773	1369.7395599756
3	0.01	0.872731372270246	0.00100970461972035	864.343249723827
4	0.02	0.868888973279686	0.000695134764353025	1249.95758784755
5	0.03	0.864230491332587	0.00038009290405464	2273.73487406213
6	0.04	0.861516453816094	0.000265701419430657	3242.42322702733
7	0.05	0.861890383286556	0.000160201343648393	5380.04465916478
8	0.06	0.864539617527488	0.000111974494230248	7720.86200049967
9	0.07	0.866831642373397	7.8076353579482e-05	11102.3581741809
10	0.08	0.869907701166193	8.99793524529295e-05	9667.85909713303
11	0.09	0.869286427165245	7.57087180199692e-05	11481.98582541
12	0.1	0.86870357588171	0.000104739699798175	8293.92844886544
13	0.11	0.8691590733254	0.000108518785512095	8009.29598708534
14	0.12	0.867851293542267	9.82529780306413e-05	8832.82431675117
15	0.13	0.866145243490211	7.88094607071891e-05	10990.3714061477
16	0.14	0.864931272348985	6.50900773557036e-05	13288.2200711226
17	0.15	0.864738908621344	4.54479941255552e-05	19026.9983364372
18	0.16	0.862832293288479	2.1825188564767e-05	39533.784128737
19	0.17	0.860576705950777	9.03887494631392e-06	95208.3872232045
20	0.18	0.858257260424536	1.08334183058622e-05	79223.1257201719
21	0.19	0.855886477482467	2.11313144408624e-05	40503.2294549273
22	0.2	0.853036385621501	3.08023919819562e-05	27693.8357943501
23	0.21	0.849185027494008	4.65650596324188e-05	18236.5282939056
24	0.22	0.845577598354209	5.14382620504644e-05	16438.6891128756
25	0.23	0.841514323497524	6.33381074720501e-05	13286.0667469243
26	0.24	0.835898166453507	6.51899671383415e-05	12822.4971287319
27	0.25	0.830275694033313	4.86164196888642e-05	17078.0921208703
28	0.26	0.823358005886711	3.96813230096865e-05	20749.2579238279
29	0.27	0.817307546695872	2.47330833731418e-05	33045.1134767694
30	0.28	0.812444444658526	2.29054857992641e-05	35469.4264849264
31	0.29	0.807841857904543	5.97681129812718e-05	13516.2684182062
32	0.3	0.805094065442103	0.00015327967234361	5252.45163388206
