ParamID	pK	MeanBC	VarBC	BCmetric
1	0.001	0.817117287555003	0.000901485731339819	906.41178129417
2	0.005	0.846385158785217	0.00135729535081161	623.582154229818
3	0.01	0.832505399116069	0.00233231666063616	356.943554521021
4	0.02	0.824223875289677	0.00160368424350133	513.956459090817
5	0.03	0.826866647150399	0.00116142997264885	711.938443662328
6	0.04	0.831710299558664	0.000766355488772434	1085.28001918655
7	0.05	0.836233627510741	0.000689204431457185	1213.33176245355
8	0.06	0.84210869284195	0.000681301593246747	1236.02924342049
9	0.07	0.850757301481226	0.000548620047797642	1550.72222551194
10	0.08	0.8599313816904	0.000394924794371422	2177.45604719274
11	0.09	0.868417875201376	0.000254185204296399	3416.47688584083
12	0.1	0.869275395827649	0.0001905342188366	4562.30592664896
13	0.11	0.866022348896707	0.000128850703740412	6721.13014331246
14	0.12	0.858986663355735	8.55332485501078e-05	10042.72230877
15	0.13	0.848572302529526	7.49842650593791e-05	11316.6715958015
16	0.14	0.84058058811844	8.55202521001245e-05	9829.02373971388
17	0.15	0.834426418972314	0.000102317076740559	8155.29963867256
18	0.16	0.827395399354443	0.000176001165014338	4701.0791052834
19	0.17	0.821138004555797	0.000179856831067772	4565.50913123998
20	0.18	0.817657023451321	0.000179950024422472	4543.80056949419
21	0.19	0.813244656150265	0.000240950453366892	3375.15304406566
22	0.2	0.810510508878039	0.000284031553468523	2853.59319758768
23	0.21	0.807964698972792	0.000319764079557472	2526.75253609145
24	0.22	0.807114503813586	0.000329331508603118	2450.76612085195
25	0.23	0.807458738446585	0.000388090800134137	2080.59232057936
26	0.24	0.808401802255171	0.000479346828927868	1686.46531794793
27	0.25	0.80866026730521	0.000524083478743443	1542.99896887434
28	0.26	0.810234687701398	0.000588391254213484	1377.03387312318
29	0.27	0.812305116844194	0.000572558843669212	1418.72774445083
30	0.28	0.812716319308545	0.000543304814340486	1495.87542362402
31	0.29	0.813191049582413	0.000430680362231895	1888.15446650098
32	0.3	0.813840385297323	0.000321555682313277	2530.94698698074
