ParamID	pK	MeanBC	VarBC	BCmetric
1	0.001	0.839823652956098	0.000712078759671356	1179.39714048443
2	0.005	0.882211779341218	0.000467432396857387	1887.35694246366
3	0.01	0.86950630770813	0.0010704344015909	812.292940525694
4	0.02	0.840264355402518	0.00182190520619084	461.200918987056
5	0.03	0.819428893656135	0.0021137534534686	387.665312769321
6	0.04	0.809000248989715	0.00218003232579178	371.095528914183
7	0.05	0.80094244914935	0.00202706972071108	395.123286074435
8	0.06	0.78915071803723	0.00210609426961594	374.69866825151
9	0.07	0.775467945690165	0.00207197182602761	374.2656806183
10	0.08	0.760307087736913	0.00191016230285129	398.03271512688
11	0.09	0.746946948260506	0.00175650785400689	425.245436026143
12	0.1	0.736792056721826	0.00178840096556989	411.983705503672
13	0.11	0.730369403690803	0.00176316055642103	414.238737947581
14	0.12	0.72317177954793	0.0015303207353572	472.562230151792
15	0.13	0.720744389176965	0.00149189943749771	483.105208743718
16	0.14	0.719177915702231	0.00157096329579661	457.794219398073
17	0.15	0.717294436257832	0.00158942178780744	451.292691317212
18	0.16	0.713791187022405	0.00128328622204804	556.221343889475
19	0.17	0.710543242180571	0.00101491561404973	700.100808721776
20	0.18	0.707094207423843	0.000814466175143566	868.168904987618
21	0.19	0.704349427741324	0.000920307903937698	765.341061103183
22	0.2	0.698506097451237	0.000799487275117049	873.692576719213
23	0.21	0.696287008176514	0.000736369969661254	945.566816768507
24	0.22	0.691501557532657	0.000571964510424098	1208.99381854991
25	0.23	0.685717498824173	0.000310315542233187	2209.74268284922
26	0.24	0.680985726728692	0.000277288469242905	2455.87466578766
27	0.25	0.67961947076042	0.000321986409851815	2110.70855777173
28	0.26	0.677329612315799	0.000367194784726824	1844.60575282871
29	0.27	0.679042289554564	0.000578606535139422	1173.5821293324
30	0.28	0.676644811799231	0.000419795643693533	1611.84333845353
31	0.29	0.675767196440733	0.000470072904754158	1437.57955331237
32	0.3	0.673492123164144	0.000434559574137936	1549.82691268555
