ParamID	pK	MeanBC	VarBC	BCmetric
1	0.001	0.799123171961995	0.000792192177669883	1008.74913245483
2	0.005	0.834609005425792	0.00248043647230604	336.476670434483
3	0.01	0.815359568387959	0.00284632669345496	286.460289418939
4	0.02	0.795888221705292	0.00246931573249671	322.311242434993
5	0.03	0.789846279416817	0.00175083296507106	451.126004121565
6	0.04	0.786178478403325	0.00139161356338079	564.940224133329
7	0.05	0.783125562448654	0.00111189518953422	704.315991129262
8	0.06	0.777822618166312	0.000923381111967248	842.363578900995
9	0.07	0.774001201475149	0.000776575869627381	996.684589036397
10	0.08	0.769703173685244	0.000642409566306335	1198.15023632168
11	0.09	0.765153854342715	0.000581474886975487	1315.88460908884
12	0.1	0.761549319778793	0.00054337131321627	1401.5265459472
13	0.11	0.759006355742941	0.000398630835149161	1904.03322778313
14	0.12	0.756135280176682	0.000272820745536158	2771.54612524314
15	0.13	0.755294158267288	0.000233089416342178	3240.36230438926
16	0.14	0.753897561718432	0.000221747097813803	3399.80802071857
17	0.15	0.753327276173421	0.000195805599887178	3847.32242901879
18	0.16	0.752730707377501	0.000141388752896276	5323.83723569376
19	0.17	0.753880178630243	0.000127761514338726	5900.68286629357
20	0.18	0.756878141181195	0.000107891203628891	7015.19786343842
21	0.19	0.759314040144257	0.000117602725021957	6456.60242993937
22	0.2	0.763431111792767	0.000106248634459542	7185.32634020321
23	0.21	0.767635575858817	9.62067934298295e-05	7979.01633026267
24	0.22	0.771524314484113	0.000104767832433784	7364.1335948392
25	0.23	0.77581388824855	9.56323430662417e-05	8112.4634550799
26	0.24	0.778790514629411	0.000101548561173617	7669.14376362177
27	0.25	0.782436853260584	8.14415980245167e-05	9607.33669573925
28	0.26	0.78395183038543	7.74231742753342e-05	10125.5449382316
29	0.27	0.786083295286096	4.98529275667877e-05	15768.046805937
30	0.28	0.787596072806069	3.09797795985336e-05	25422.9075549443
31	0.29	0.787753172201756	3.09566040000657e-05	25447.015189395
32	0.3	0.786378610163654	3.6381189804227e-05	21614.977805709
